gene_callers_id	source	accession	accession2	prokka function	In Proteome	Mantis annotation	GhostKoala annotation	Description	ProteinCategory1	ProteinCategory2	ProteinCategory3	TR08_B05	TR09_B05	TR10_B05	TR11_B05	TR12_B05	TR13_B05	TR14_B05	TR15_B05	TR16_B05	TR17_B05_MW
1685	prodigal	AFKMEEHG_00372	BB163_AFKMEEHG_00372	50S ribosomal protein L28 (rpmB)	Y	50S ribosomal protein L28	K02902	Belongs to the bacterial ribosomal protein bL28 family	Ribosomal Protein	Translation & ribosome	Translation & ribosome	0	0.061087	0	0.110052	0.097922	0.094233	0.202405	0	0	0
1817	prodigal	AFKMEEHG_00239	BB163_AFKMEEHG_00239	50S ribosomal protein L33 (rpmG)	Y	Ribosomal protein L33	K02913	Belongs to the bacterial ribosomal protein bL33 family	Ribosomal Protein	Translation & ribosome	Translation & ribosome	0.063376	0.024849	0.028831	0.089534	0.095598	0.091997	0.054889	0.046197	0	0
1012	prodigal	AFKMEEHG_00890	BB163_AFKMEEHG_00890	50S ribosomal protein L18 (rplR)	Y	50S ribosomal protein L18	K02881	"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance"	Ribosomal Protein	Translation & ribosome	Translation & ribosome	0.094265	0.135521	0.128649	0.188661	0.094795	0.136836	0.108856	0.160331	0	0
1590	prodigal	AFKMEEHG_02120	BB163_AFKMEEHG_02120	Ribosomal large subunit pseudouridine synthase B (rluB)	Y	23S rRNA pseudouridine(2604) synthase RluF	K06178	Belongs to the pseudouridine synthase RsuA family	#N/A	Translation & ribosome	Translation & ribosome	0.10428	0.110979	0.094878	0.121013	0.089885	0.070281	0.090316	0.065154	0	0
1413	prodigal	AFKMEEHG_02253	BB163_AFKMEEHG_02253	50S ribosomal protein L7/L12 (rplL)	Y	50S ribosomal protein L7/L12	K02935	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation	Ribosomal Protein	Translation & ribosome	Translation & ribosome	0	0	0	0	0.089528	0.107695	0	0	0	0
828	prodigal	AFKMEEHG_01153	BB163_AFKMEEHG_01153	hypothetical protein	Y	SPFH domain / Band 7 family	0	PFAM band 7 protein	Membrane signaling	Unknown function	Unknown function	0.246811	0.449987	0.336837	0.479434	0.618943	0.515017	0.57181	0.548723	0	0
2071	prodigal	AFKMEEHG_01105	BB163_AFKMEEHG_01105	hypothetical protein	Y	pfam:PF14903	0	#N/A	hypothetical protein	Unknown function	Unknown function	0.192895	0.217198	0.310505	0.265522	0.361844	0.344624	0.432653	0.137002	0	0
348	prodigal	AFKMEEHG_00591	BB163_AFKMEEHG_00591	hypothetical protein	Y	eggnog:28MQB	0	-	hypothetical protein	Unknown function	Unknown function	0.12367	0.14832	0.258132	0.282624	0.356633	0.35376	0.321327	0.890865	1.038579	3.100023
1993	prodigal	AFKMEEHG_00628	BB163_AFKMEEHG_00628	hypothetical protein	Y	eggnog:2ZBSP	0	-	hypothetical protein	Unknown function	Unknown function	0.12557	0.153173	0.24119	0.221747	0.278858	0.232911	0.259803	0.376299	0.995951	0
1364	prodigal	AFKMEEHG_01212	BB163_AFKMEEHG_01212	hypothetical protein	Y	kegg_ko:K08948	K11733	#N/A	hypothetical protein	Unknown function	Unknown function	0.107272	0.180257	0.237028	0.27062	0.277391	0.222452	0.225631	0.290435	1.458551	1.306075
2134	prodigal	AFKMEEHG_01555	BB163_AFKMEEHG_01555	hypothetical protein	Y	eggnog:2EE3D	0	-	hypothetical protein	Unknown function	Unknown function	0.29562	0.344593	0.174464	0.293472	0.25309	0.260954	0.242194	0.11648	0	0
796	prodigal	AFKMEEHG_01185	BB163_AFKMEEHG_01185	hypothetical protein	Y	eggnog:2C0DC	0	-	hypothetical protein	Unknown function	Unknown function	0.220516	0.255626	0.279143	0.169311	0.224165	0.173969	0.166076	0.181708	0.456265	0
1791	prodigal	AFKMEEHG_00266	BB163_AFKMEEHG_00266	hypothetical protein	Y	kegg_ko:K08951	0	-	hypothetical protein	Unknown function	Unknown function	0.130741	0.189669	0.178429	0.217026	0.212004	0.213508	0.186835	0.142952	0	0
349	prodigal	AFKMEEHG_00590	BB163_AFKMEEHG_00590	hypothetical protein	Y	Fibrobacter succinogenes major domain (Fib_succ_major)	0	Fibrobacter succinogenes major domain (Fib_succ_major)	hypothetical protein	Unknown function	Unknown function	0.135247	0.193399	0.209914	0.17983	0.20401	0.207875	0.206711	0.104386	0	0
215	prodigal	AFKMEEHG_00569	BB163_AFKMEEHG_00569	hypothetical protein	Y	SPFH domain / Band 7 family	0	PFAM band 7 protein	Membrane signaling	Unknown function	Unknown function	0.119177	0.157707	0.162648	0.142059	0.185388	0.140561	0.122572	0.217181	0	0
1044	prodigal	AFKMEEHG_00923	BB163_AFKMEEHG_00923	hypothetical protein	Y	eggnog:COG2930	0	(twin-arginine translocation) pathway signal	hypothetical protein	Unknown function	Unknown function	0.116189	0.107679	0.153765	0.119378	0.151364	0.130329	0.073186	0.123192	0	0
1629	prodigal	AFKMEEHG_00428	BB163_AFKMEEHG_00428	hypothetical protein	Y	eggnog:2ZKPB	0	-	hypothetical protein	Unknown function	Unknown function	0.095877	0.150368	0.043616	0.169311	0.144623	0.173969	0.124557	0.209663	0	0
708	prodigal	AFKMEEHG_01033	BB163_AFKMEEHG_01033	hypothetical protein	Y	eggnog:2ZCFG	0	Protein of unknown function (DUF1207)	hypothetical protein	Unknown function	Unknown function	0.04969	0.116897	0.141281	0.118461	0.140539	0.103688	0.102211	0.117718	0	0
1836	prodigal	AFKMEEHG_00220	BB163_AFKMEEHG_00220	hypothetical protein	Y	eggnog:32YB2	0	Domain of unknown function (DUF4136)	hypothetical protein	Unknown function	Unknown function	0.010052	0.086704	0.118889	0.127802	0.136459	0.087546	0.087056	0.087923	0	0
2108	prodigal	AFKMEEHG_01456	BB163_AFKMEEHG_01456	hypothetical protein	Y	eggnog:303H0	0	#N/A	hypothetical protein	Unknown function	Unknown function	0.111065	0.087094	0.067367	0.078453	0.12565	0.094047	0.064128	0.080959	0	0
1797	prodigal	AFKMEEHG_00260	BB163_AFKMEEHG_00260	hypothetical protein	Y	eggnog:31CY1	0	-	hypothetical protein	Unknown function	Unknown function	0.044514	0.061087	0.141752	0.110052	0.109113	0.088848	0.144575	0.129792	0	0
2025	prodigal	AFKMEEHG_00777	BB163_AFKMEEHG_00777	hypothetical protein	Y	eggnog:29A93	0	-	hypothetical protein	Unknown function	Unknown function	0.024818	0.24651	0.24838	0.210365	0.106067	0.168119	0.035824	0.024121	0	0
220	prodigal	AFKMEEHG_00564	BB163_AFKMEEHG_00564	hypothetical protein	Y	#N/A	0	#N/A	#N/A	Unknown function	Unknown function	0	0.010435	0.078695	0.042298	0.105379	0.096581	0.02305	0.184295	1.899749	2.268202
938	prodigal	AFKMEEHG_00089	BB163_AFKMEEHG_00089	hypothetical protein	Y	eggnog:2ZBQG	0	-	hypothetical protein	Unknown function	Unknown function	0.144902	0.133029	0.151131	0.11983	0.103956	0.076954	0.113255	0.072134	0	0
16	prodigal	AFKMEEHG_00480	BB163_AFKMEEHG_00480	hypothetical protein	Y	0	0	#N/A	#N/A	Unknown function	Unknown function	0.029914	0.043005	0.063505	0.098607	0.101525	0.083227	0.069087	0.232586	0	0
900	prodigal	AFKMEEHG_00051	BB163_AFKMEEHG_00051	hypothetical protein	Y	eggnog:33NSB	0	-	#N/A	Unknown function	Unknown function	0.063257	0.088186	0.057553	0.084401	0.100719	0.071419	0.09131	0	0	0
1409	prodigal	AFKMEEHG_02249	BB163_AFKMEEHG_02249	Transcription termination/antitermination protein NusG (nusG)	Y	Transcription termination factor nusG	K02601					0.12725	0.122814	0.222647	0.124457	0.088591	0.156299	0.118688	0.214054	0	0
1397	prodigal	AFKMEEHG_01245	BB163_AFKMEEHG_01245	DNA mismatch repair protein MutL (mutL)	Y	ATP binding	K03572					0.093179	0.096639	0.11486	0.112529	0.088413	0.091627	0.088511	0.06573	0	0
2093	prodigal	AFKMEEHG_01471	BB163_AFKMEEHG_01471	hypothetical protein	Y	kegg_brite:ko00000	K09014					0.082554	0.129473	0.088365	0.106336	0.087901	0.102212	0.084116	0.127432	0	0
1117	prodigal	AFKMEEHG_00996	BB163_AFKMEEHG_00996	hypothetical protein	Y	FeoA domain	K04758					0.096371	0.075572	0.070145	0.122532	0.087221	0.111914	0.116852	0	0	0
588	prodigal	AFKMEEHG_01925	BB163_AFKMEEHG_01925	Multidrug resistance protein MexA (mexA)	Y	Barrel-sandwich domain of CusB or HlyD membrane-fusion	K03585					0.071907	0.052629	0.074147	0.057566	0.086774	0.073067	0.107949	0.062899	0	0
1334	prodigal	AFKMEEHG_00710	BB163_AFKMEEHG_00710	"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1 (glgE1)"	Y	starch synthase (maltosyl-transferring)	K16147					0.048144	0.054533	0.063271	0.064236	0.086743	0.079593	0.034748	0.042892	0	0
1115	prodigal	AFKMEEHG_00994	BB163_AFKMEEHG_00994	DNA topoisomerase 1 (topA)	Y	DNA binding	K03168					0.105561	0.108531	0.113117	0.092792	0.086692	0.085129	0.119868	0.112855	0	0
132	prodigal	AFKMEEHG_01736	BB163_AFKMEEHG_01736	hypothetical protein	Y	Peptidase family S41	K03797					0.024191	0.067749	0.053452	0.073232	0.086012	0.08528	0.056868	0.040305	0	0
744	prodigal	AFKMEEHG_01075	BB163_AFKMEEHG_01075	Bifunctional purine biosynthesis protein PurH (purH)	Y	AICARFT/IMPCHase bienzyme	K00602					0.309818	0.15359	0.093961	0.120743	0.085947	0.126649	0.154213	0.2492	0	0
347	prodigal	AFKMEEHG_00592	BB163_AFKMEEHG_00592	hypothetical protein	Y	eggnog:32YH5	0					0.030155	0.041382	0.082308	0.063901	0.085287	0.065659	0.058763	0.109904	0	0
1808	prodigal	AFKMEEHG_00249	BB163_AFKMEEHG_00249	Lysine--tRNA ligase (lysS)	Y	ATP binding	K04567					0.156406	0.139763	0.172088	0.123327	0.085043	0.10032	0.110259	0.180294	0	0
1428	prodigal	AFKMEEHG_01406	BB163_AFKMEEHG_01406	NADH peroxidase (npr)	Y	Pyridine nucleotide-disulphide oxidoreductase	0					0.070629	0.04887	0.060481	0.096846	0.084604	0.093479	0.079163	0.102968	0.197715	0
1276	prodigal	AFKMEEHG_01759	BB163_AFKMEEHG_01759	CTP synthase (pyrG)	Y	CTP synthase	K01937					0.13143	0.131407	0.170401	0.141578	0.084257	0.102547	0.130905	0.081433	0	0
482	prodigal	AFKMEEHG_02060	BB163_AFKMEEHG_02060	Tol-Pal system protein TolB (tolB)	Y	TolB amino-terminal domain	K03641					0.03309	0.04541	0.048923	0.075965	0.08423	0.084059	0.060901	0.066332	0	0
1690	prodigal	AFKMEEHG_00367	BB163_AFKMEEHG_00367	Branched-chain-amino-acid aminotransferase (ilvE)	Y	Amino-transferase class IV	K00826					0.086384	0.062901	0.02807	0.095887	0.083767	0.098525	0.101536	0.09895	0	0
510	prodigal	AFKMEEHG_01344	BB163_AFKMEEHG_01344	hypothetical protein	Y	eggnog:32V03	0					0.0123	0.028936	0.033573	0.078195	0.083491	0.044637	0.053264	0.017932	0	0
238	prodigal	AFKMEEHG_00546	BB163_AFKMEEHG_00546	hypothetical protein	Y	Papain-like cysteine protease AvrRpt2	0					0.019193	0.045151	0.078066	0.055026	0.083446	0.077845	0.086046	0.240302	0.053727	0
1980	prodigal	AFKMEEHG_00615	BB163_AFKMEEHG_00615	UDP-glucose 6-dehydrogenase (ugd_2)	Y	NAD binding	K00012					0.21381	0.105278	0.140244	0.13698	0.082504	0.122704	0.094743	0.152229	0	0
100	prodigal	AFKMEEHG_01703	BB163_AFKMEEHG_01703	Cytochrome c551 peroxidase (ccp)	Y	Cytochrome c	K00428					0.043733	0.09431	0.029843	0.073368	0.08246	0.043645	0.066285	0.015939	0	0
1712	prodigal	AFKMEEHG_00345	BB163_AFKMEEHG_00345	Carbamoyl-phosphate synthase large chain (carB_1)	Y	ATP binding	K01955					0.154287	0.073542	0.090831	0.087614	0.08214	0.103199	0.096945	0.101439	0	0
156	prodigal	AFKMEEHG_01046	BB163_AFKMEEHG_01046	hypothetical protein	Y	Binding-protein-dependent transport system inner membrane component	K02038					0.01252	0.016363	0.072142	0.044217	0.081835	0.030289	0.08313	0.03042	0	0
2065	prodigal	AFKMEEHG_01981	BB163_AFKMEEHG_01981	hypothetical protein	Y	eggnog:33QQQ	0					0.009032	0.191229	0.03287	0.082938	0.081743	0.078664	0.070402	0.250178	0	0
147	prodigal	AFKMEEHG_01751	BB163_AFKMEEHG_01751	hypothetical protein	Y	4Fe-4S dicluster domain	0					0.078219	0.089	0.090703	0.086669	0.080972	0.090167	0.091655	0.058135	0	0
917	prodigal	AFKMEEHG_00068	BB163_AFKMEEHG_00068	Lipopolysaccharide export system ATP-binding protein LptB (lptB)	Y	LPS export ABC transporter ATP-binding protein	K06861					0.045974	0.030043	0.027886	0.048712	0.080906	0.033368	0.039817	0.011171	0	0
415	prodigal	AFKMEEHG_01615	BB163_AFKMEEHG_01615	hypothetical protein	Y	Outer membrane efflux protein	0					0.098184	0.057745	0.044666	0.049126	0.080223	0.074232	0.081493	0.029821	0	0
705	prodigal	AFKMEEHG_01030	BB163_AFKMEEHG_01030	Hydrogenase maturation factor HypB (hypB)	Y	hydrogenase nickel incorporation protein HypB	K04652					0.033032	0.082888	0.072128	0.069998	0.079721	0.062334	0.080104	0.096312	0	0
1708	prodigal	AFKMEEHG_00349	BB163_AFKMEEHG_00349	hypothetical protein	Y	FeoA domain	0					0	0.016473	0.038225	0.089031	0.079218	0.106727	0.054581	0	0	0
1320	prodigal	AFKMEEHG_00696	BB163_AFKMEEHG_00696	Manganese transport system ATP-binding protein MntB (mntB)	Y	ABC transporter	K09817					0.037392	0.035186	0.027216	0.052825	0.078964	0.059706	0.051816	0.032707	0	0
1317	prodigal	AFKMEEHG_00693	BB163_AFKMEEHG_00693	hypothetical protein	Y	NlpE N-terminal domain	K06079					0.048144	0.062922	0.094907	0.079351	0.078674	0.081534	0.097293	0.035094	0	0
1363	prodigal	AFKMEEHG_01211	BB163_AFKMEEHG_01211	putative sugar epimerase YhfK (yhfK)	Y	NAD(P)H-binding	0					0.048144	0.094383	0.073005	0.079351	0.078674	0.081534	0.097293	0.116979	0	0
1893	prodigal	AFKMEEHG_01523	BB163_AFKMEEHG_01523	hypothetical protein	Y	Propeptide_C25	0					0.026444	0.060137	0.091427	0.076585	0.077783	0.080611	0.068709	0.343112	0.251688	0.225376
1427	prodigal	AFKMEEHG_01405	BB163_AFKMEEHG_01405	Alanine--tRNA ligase (alaS)	Y	ATP binding	K01872					0.128726	0.088126	0.104106	0.082268	0.077053	0.088981	0.107949	0.107238	0	0
1197	prodigal	AFKMEEHG_01840	BB163_AFKMEEHG_01840	DNA gyrase subunit B (gyrB)	Y	ATP binding	K02470					0.200314	0.17074	0.108295	0.129191	0.076634	0.107461	0.125717	0.118505	0	0
1961	prodigal	AFKMEEHG_00175	BB163_AFKMEEHG_00175	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (glmS_1)	Y	SIS domain	K00820					0.091448	0	0.092447	0.07895	0.076634	0.088497	0.079202	0.059253	0	0
139	prodigal	AFKMEEHG_01743	BB163_AFKMEEHG_01743	hypothetical protein	Y	Biogenesis of lysosome-related organelles complex-1 subunit 2	0					0.01345	0.031642	0.024475	0.042754	0.076083	0.058574	0.052421	0	0	0
1824	prodigal	AFKMEEHG_00232	BB163_AFKMEEHG_00232	General stress protein CTC (ctc)	Y	5S rRNA binding	K02897					0.13747	0.057494	0.008338	0.084157	0.076033	0.106428	0.119062	0.133609	0	0
807	prodigal	AFKMEEHG_01174	BB163_AFKMEEHG_01174	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (hcaB)	Y	Enoyl-(Acyl carrier protein) reductase	0					0.164418	0.081103	0.091686	0.080549	0.076004	0.092389	0.087278	0.135315	0	0
1416	prodigal	AFKMEEHG_02256	BB163_AFKMEEHG_02256	Biotin carboxylase (accC)	Y	ATP binding	K01961					0.179448	0.143991	0.13669	0.147391	0.07554	0.136302	0.130117	0.170351	0	0
1480	prodigal	AFKMEEHG_01559	BB163_AFKMEEHG_01559	hypothetical protein	Y	"UDP-glucose (galactosyl)LPS alpha-1,2-glucosyltransferase"	0					0.085383	0.069264	0.040182	0.064471	0.0755	0.081204	0.124949	0.077262	0	0
1939	prodigal	AFKMEEHG_00126	BB163_AFKMEEHG_00126	"UDP-N-acetylglucosamine 4,6-dehydratase (inverting) (pseB)"	Y	Polysaccharide biosynthesis protein	K15894					0.138694	0.121811	0.161522	0.1254	0.075315	0.080532	0.067268	0.145582	0	0
1335	prodigal	AFKMEEHG_00711	BB163_AFKMEEHG_00711	Glucosamine kinase	Y	"Alpha amylase, catalytic domain"	K05343					0.096441	0.075626	0.069273	0.087245	0.075289	0.066313	0.05715	0.073999	0	0
1080	prodigal	AFKMEEHG_00959	BB163_AFKMEEHG_00959	Na( )-translocating NADH-quinone reductase subunit A (nqrA)	Y	NQRA C-terminal domain	K00346					0.020727	0.058513	0.041488	0.064421	0.075037	0.069202	0.068216	0.048348	0	0
2126	prodigal	AFKMEEHG_02113	BB163_AFKMEEHG_02113	ATP-dependent protease ATPase subunit ClpY (clpY_1)	Y	AAA domain (Cdc48 subfamily)	K03667					0.143203	0.127893	0.097718	0.095534	0.075004	0.095276	0.089575	0.104386	0	0
222	prodigal	AFKMEEHG_00562	BB163_AFKMEEHG_00562	hypothetical protein	Y	eggnog:30N6F	0					0	0.030974	0.047916	0.065101	0.074476	0.062114	0.07412	0.182348	0.939841	0.56106
818	prodigal	AFKMEEHG_01163	BB163_AFKMEEHG_01163	Iron-sulfur cluster carrier protein (apbC)	Y	ABC transporter related protein	K03593					0.124294	0.077163	0.127224	0.073165	0.074214	0.082696	0.089708	0.120803	0	0
1948	prodigal	AFKMEEHG_00117	BB163_AFKMEEHG_00117	hypothetical protein	Y	"AAA domain, putative AbiEii toxin, Type IV TA system"	0					0.051222	0.070292	0.081556	0.096484	0.074045	0.092942	0.055453	0.049783	0	0
1847	prodigal	AFKMEEHG_00209	BB163_AFKMEEHG_00209	Bacteriochlorophyllide d C-12(1)-methyltransferase (bchR)	Y	bacteriochlorophyllide d C-12(1)-methyltransferase	0					0.085724	0.044815	0.063138	0.072086	0.07389	0.071107	0.081315	0.065463	0	0
664	prodigal	AFKMEEHG_01995	BB163_AFKMEEHG_01995	Biopolymer transport protein ExbB (exbB)	Y	MotA/TolQ/ExbB proton channel family	K03561					0.022525	0.011776	0.034157	0.084859	0.073618	0.049047	0.039018	0.010946	0	0
1741	prodigal	AFKMEEHG_00316	BB163_AFKMEEHG_00316	hypothetical protein	Y	eggnog:32JEU	0					0.082593	0.058879	0.109303	0.084859	0.073618	0.054496	0.045521	0.032839	0	0
1195	prodigal	AFKMEEHG_01842	BB163_AFKMEEHG_01842	Protein translocase subunit SecF (secF)	Y	Protein export membrane protein	K03074					0.042491	0.03808	0.055228	0.060028	0.07325	0.048463	0.052573	0.053097	0	0
182	prodigal	AFKMEEHG_00817	BB163_AFKMEEHG_00817	hypothetical protein	Y	Na+-transporting oxaloacetate decarboxylase beta subunit	K20509					0.068312	0.084582	0.088322	0.078729	0.073215	0.091334	0.08719	0.078624	0	0
1725	prodigal	AFKMEEHG_00332	BB163_AFKMEEHG_00332	Malate dehydrogenase (mdh)	Y	"lactate/malate dehydrogenase, NAD binding domain"	K00024					0.162836	0.080398	0.115231	0.068161	0.072778	0.091923	0.130584	0.237393	0	0
1453	prodigal	AFKMEEHG_01635	BB163_AFKMEEHG_01635	Coenzyme A biosynthesis bifunctional protein CoaBC (coaBC)	Y	DNA / pantothenate metabolism flavoprotein	K13038					0.041241	0.046714	0.033353	0.055026	0.072577	0.05654	0.035718	0.046763	0	0
175	prodigal	AFKMEEHG_00810	BB163_AFKMEEHG_00810	Thioredoxin reductase (trxB)	Y	Pyridine nucleotide-disulphide oxidoreductase	K00384					0.060116	0.084854	0.049226	0.09342	0.072544	0.13526	0.083305	0.166517	0	0
362	prodigal	AFKMEEHG_00637	BB163_AFKMEEHG_00637	"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic (ndhI_1)"	Y	NADH-quinone oxidoreductase subunit I	K00338					0.069891	0.082211	0.055641	0.074054	0.07248	0.063409	0.113498	0.063683	0	0
960	prodigal	AFKMEEHG_00110	BB163_AFKMEEHG_00110	ATP phosphoribosyltransferase (hisG_1)	Y	ATP phosphoribosyltransferase	K00765					0.171697	0.084774	0.06943	0.080855	0.071942	0.09231	0.049568	0.11125	0.302624	0
1469	prodigal	AFKMEEHG_00102	BB163_AFKMEEHG_00102	Type I secretion system membrane fusion protein PrsE (prsE_1)	Y	Biotin-lipoyl like	K12537					0.042924	0.05984	0.043394	0.080855	0.071942	0.069233	0.086745	0.027812	0	0
893	prodigal	AFKMEEHG_00044	BB163_AFKMEEHG_00044	Sensor histidine kinase RcsC (rcsC_1)	Y	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"	0					0.072465	0.079555	0.052745	0.102374	0.071831	0.072131	0.077107	0.048295	0	0
492	prodigal	AFKMEEHG_01326	BB163_AFKMEEHG_01326	3-isopropylmalate dehydratase large subunit (leuC)	Y	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	K01703					0.246683	0.105205	0.114189	0.097824	0.071809	0.11308	0.104951	0.170351	0	0
1581	prodigal	AFKMEEHG_02129	BB163_AFKMEEHG_02129	Macrolide export protein MacA (macA_2)	Y	Barrel-sandwich domain of CusB or HlyD membrane-fusion	0					0.051933	0.04887	0.042526	0.044021	0.070504	0.071617	0.06297	0.030285	0	0
838	prodigal	AFKMEEHG_01143	BB163_AFKMEEHG_01143	Outer membrane protein assembly factor BamA (bamA_2)	Y	Patatin-like phospholipase	K07001					0.031091	0.043885	0.028288	0.0571	0.070347	0.064689	0.053855	0.021152	0	0
1713	prodigal	AFKMEEHG_00344	BB163_AFKMEEHG_00344	Riboflavin biosynthesis protein RibBA (ribBA)	Y	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	K14652					0.177634	0.059201	0.060607	0.053327	0.070336	0.074133	0.057693	0.058267	0	0
827	prodigal	AFKMEEHG_01154	BB163_AFKMEEHG_01154	hypothetical protein	Y	Insulinase (Peptidase family M16)	0					0.0988	0.074496	0.067419	0.064421	0.070217	0.088257	0.065823	0.127417	0	0
397	prodigal	AFKMEEHG_01596	BB163_AFKMEEHG_01596	hypothetical protein	Y	HlyD family secretion protein	K03585					0.014683	0.030703	0.017812	0.051857	0.070134	0.049731	0.050866	0.007135	0	0
2013	prodigal	AFKMEEHG_00789	BB163_AFKMEEHG_00789	hypothetical protein	Y	cytoskeleton protein RodZ	0					0.0164	0.042868	0.029843	0.054061	0.070091	0.067451	0.033142	0	0	0
1101	prodigal	AFKMEEHG_00980	BB163_AFKMEEHG_00980	Lysine-sensitive aspartokinase 3 (lysC)	Y	Amino acid kinase family	K00928					0.114995	0.095994	0.114752	0.104811	0.069944	0.105003	0.109234	0.118976	0	0
1676	prodigal	AFKMEEHG_00381	BB163_AFKMEEHG_00381	putative glycine dehydrogenase (decarboxylating) subunit 1 (gcvPA)	Y	Glycine cleavage system P-protein	K00282					0.088427	0.04953	0.053636	0.059488	0.069868	0.061124	0.054704	0.079804	0	0
50	prodigal	AFKMEEHG_02045	BB163_AFKMEEHG_02045	hypothetical protein	Y	Tetratricopeptide repeat	0					0.041165	0.040351	0.040575	0.058156	0.069857	0.062246	0.071306	0.060014	0	0
87	prodigal	AFKMEEHG_01690	BB163_AFKMEEHG_01690	Outer membrane lipoprotein Blc (blc_3)	Y	Lipocalin-like domain	K03098					0.034622	0.090499	0.021	0.08152	0.069633	0.075387	0.069967	0.050474	0	0
791	prodigal	AFKMEEHG_01190	BB163_AFKMEEHG_01190	DNA-binding protein HU 1 (hupA)	Y	Bacterial DNA-binding protein	K05788					0.036659	0.114987	0.083384	0.116526	0.069121	0.039911	0.03175	0.080165	0	0
1402	prodigal	AFKMEEHG_02238	BB163_AFKMEEHG_02238	hypothetical protein	Y	photosystem P840 reaction center iron-sulfur protein	0					0.030524	0.023936	0.034715	0.032342	0.069065	0.03877	0.033046	0.055625	0.363149	0.650372
211	prodigal	AFKMEEHG_00573	BB163_AFKMEEHG_00573	Apulose-4-phosphate transketolase subunit B (aptB)	Y	"Transketolase, pyrimidine binding domain"	K00615					0.097196	0.071735	0.067625	0.084811	0.068994	0.070545	0.05447	0.116693	0	0
1770	prodigal	AFKMEEHG_00287	BB163_AFKMEEHG_00287	ATP-dependent RNA helicase RhlE (rhlE)	Y	ATP-dependent RNA helicase DbpA	K11927					0.090757	0.071169	0.078445	0.07693	0.06845	0.062578	0.090394	0.092618	0	0
395	prodigal	AFKMEEHG_01594	BB163_AFKMEEHG_01594	hypothetical protein	Y	Outer membrane efflux protein	0					0.03886	0.054174	0.031428	0.064049	0.068387	0.062677	0.056094	0.050358	0	0
1043	prodigal	AFKMEEHG_00922	BB163_AFKMEEHG_00922	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (gatB)	Y	GatB domain	K02434					0.106272	0.064817	0.075203	0.075067	0.068277	0.091416	0.078405	0.137716	0	0
1503	prodigal	AFKMEEHG_02088	BB163_AFKMEEHG_02088	D-inositol-3-phosphate glycosyltransferase (mshA_14)	Y	glycosyltransferase activity	0					0.014235	0.033489	0.012952	0.03687	0.067998	0.048217	0.069866	0.006918	0	0
380	prodigal	AFKMEEHG_00657	BB163_AFKMEEHG_00657	Thiol peroxidase (tpx)	Y	Redoxin	K11065					0.078838	0.079487	0.102471	0.063645	0.067955	0.081745	0.078036	0.311969	0	0
1921	prodigal	AFKMEEHG_00145	BB163_AFKMEEHG_00145	Apulose-4-phosphate transketolase subunit A (aptA)	Y	transketolase	K00615					0.095159	0.092179	0.096765	0.079079	0.067548	0.048753	0.053328	0.097927	0	0
2094	prodigal	AFKMEEHG_01470	BB163_AFKMEEHG_01470	putative ABC transporter ATP-binding protein	Y	ABC transporter	K09013					0.044514	0.087267	0.033751	0.110052	0.067146	0.075387	0.064255	0.118976	0	0
51	prodigal	AFKMEEHG_01544	BB163_AFKMEEHG_01544	Putative peroxiredoxin bcp (bcp_1)	Y	AhpC/TSA family	K03564					0.012632	0.059436	0.045974	0.053539	0.066693	0.082518	0.043763	0.110498	0	0
1407	prodigal	AFKMEEHG_02243	BB163_AFKMEEHG_02243	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (ispG)	Y	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	K03526					0.153066	0.085736	0.074606	0.063714	0.065968	0.08729	0.118365	0.083681	0	0
1389	prodigal	AFKMEEHG_01237	BB163_AFKMEEHG_01237	1-acyl-sn-glycerol-3-phosphate acyltransferase (plsC)	Y	1-acyl-sn-glycerol-3-phosphate acyltransferase	K00655					0.023666	0.037116	0.028709	0.033434	0.065446	0.05153	0.047826	0.023001	0	0
646	prodigal	AFKMEEHG_02013	BB163_AFKMEEHG_02013	Ferredoxin-dependent glutamate synthase 1 (gltB_1)	Y	Conserved region in glutamate synthase	K00265					0.174284	0.09844	0.090928	0.096421	0.065264	0.069882	0.07389	0.097724	0.058	0
1530	prodigal	AFKMEEHG_02171	BB163_AFKMEEHG_02171	Chaperone protein Skp (skp)	Y	Outer membrane protein (OmpH-like)	0					0.205331	0.135592	0.19665	0.106871	0.065206	0.06275	0.074878	0.110285	0	0
