gene_callers_id	source	accession	function	e_value
384	prodigal	AFKMEEHG_00661	tRNA-specific adenosine deaminase (tadA_1)	0
385	prodigal	AFKMEEHG_00662	hypothetical protein	0
386	prodigal	AFKMEEHG_00663	hypothetical protein	0
387	prodigal	AFKMEEHG_00664	hypothetical protein	0
388	prodigal	AFKMEEHG_01583	hypothetical protein	0
389	prodigal	AFKMEEHG_01584	hypothetical protein	0
390	prodigal	AFKMEEHG_01585	Histidine biosynthesis bifunctional protein HisB (hisB)	0
391	prodigal	AFKMEEHG_01586	Ribonuclease Y (rny)	0
392	prodigal	AFKMEEHG_01587	hypothetical protein	0
393	prodigal	AFKMEEHG_01588	hypothetical protein	0
394	prodigal	AFKMEEHG_01589	Phenylalanine--tRNA ligase beta subunit (pheT)	0
395	prodigal	AFKMEEHG_01594	hypothetical protein	0
396	prodigal	AFKMEEHG_01595	Multidrug resistance protein MdtB (mdtB)	0
397	prodigal	AFKMEEHG_01596	hypothetical protein	0
398	prodigal	AFKMEEHG_01597	hypothetical protein	0
399	prodigal	AFKMEEHG_01598	Bifunctional protein GlmU (glmU_1)	0
400	prodigal	AFKMEEHG_01599	S-adenosylmethionine synthase (metK)	0
401	prodigal	AFKMEEHG_01600	Adenosylhomocysteinase (ahcY)	0
402	prodigal	AFKMEEHG_01602	N-(5'-phosphoribosyl)anthranilate isomerase (trpF)	0
403	prodigal	AFKMEEHG_01603	Haloalkane dehalogenase (dhmA)	0
404	prodigal	AFKMEEHG_01604	hypothetical protein	0
405	prodigal	AFKMEEHG_01605	"L-lysine 2,3-aminomutase (kamA)"	0
406	prodigal	AFKMEEHG_01606	Sodium/glucose cotransporter (sglT_3)	0
407	prodigal	AFKMEEHG_01607	N-acetyltransferase YodP (yodP)	0
408	prodigal	AFKMEEHG_01608	hypothetical protein	0
409	prodigal	AFKMEEHG_01609	hypothetical protein	0
410	prodigal	AFKMEEHG_01610	Small-conductance mechanosensitive channel (mscS_1)	0
411	prodigal	AFKMEEHG_01611	Multidrug export protein MepA (mepA)	0
412	prodigal	AFKMEEHG_01612	hypothetical protein	0
413	prodigal	AFKMEEHG_01613	Multidrug resistance protein MdtA (mdtA_2)	0
414	prodigal	AFKMEEHG_01614	Nickel and cobalt resistance protein CnrA (cnrA)	0
415	prodigal	AFKMEEHG_01615	hypothetical protein	0
416	prodigal	AFKMEEHG_01616	hypothetical protein	0
417	prodigal	AFKMEEHG_01297	hypothetical protein	0
418	prodigal	AFKMEEHG_01296	hypothetical protein	0
419	prodigal	AFKMEEHG_01295	Bacillibactin exporter (ymfD)	0
420	prodigal	AFKMEEHG_01294	CTP pyrophosphohydrolase (nudG)	0
421	prodigal	AFKMEEHG_01293	Type I secretion system membrane fusion protein PrsE (prsE_2)	0
422	prodigal	AFKMEEHG_01292	Toxin RTX-I translocation ATP-binding protein (apxIB_1)	0
423	prodigal	AFKMEEHG_01291	Outer membrane efflux protein BepC (bepC)	0
424	prodigal	AFKMEEHG_02272	Toxin RTX-I translocation ATP-binding protein (apxIB_2)	0
425	prodigal	AFKMEEHG_02271	hypothetical protein	0
426	prodigal	AFKMEEHG_02270	hypothetical protein	0
427	prodigal	AFKMEEHG_01903	hypothetical protein	0
428	prodigal	AFKMEEHG_01050	hypothetical protein	0
429	prodigal	AFKMEEHG_01051	hypothetical protein	0
430	prodigal	AFKMEEHG_01052	hypothetical protein	0
431	prodigal	AFKMEEHG_00181	hypothetical protein	0
432	prodigal	AFKMEEHG_00180	Sensor histidine kinase RcsC (rcsC_2)	0
433	prodigal	AFKMEEHG_00179	hypothetical protein	0
434	prodigal	AFKMEEHG_00178	Nuclease SbcCD subunit C (sbcC)	0
435	prodigal	AFKMEEHG_00612	hypothetical protein	0
436	prodigal	AFKMEEHG_00611	ADP-ribosyl-[dinitrogen reductase] glycohydrolase (draG)	0
437	prodigal	AFKMEEHG_00610	Protein McrC (mcrC)	0
438	prodigal	AFKMEEHG_00609	hypothetical protein	0
439	prodigal	AFKMEEHG_00608	hypothetical protein	0
440	prodigal	AFKMEEHG_01430	hypothetical protein	0
441	prodigal	AFKMEEHG_01431	hypothetical protein	0
442	prodigal	AFKMEEHG_01432	hypothetical protein	0
443	prodigal	AFKMEEHG_01433	hypothetical protein	0
444	prodigal	AFKMEEHG_01434	Putative nuclease YhcG (yhcG)	0
445	prodigal	AFKMEEHG_01435	hypothetical protein	0
446	prodigal	AFKMEEHG_01436	hypothetical protein	0
447	prodigal	AFKMEEHG_01437	hypothetical protein	0
448	prodigal	AFKMEEHG_01438	hypothetical protein	0
449	prodigal	AFKMEEHG_01439	cGAMP-activated phospholipase (capV)	0
450	prodigal	AFKMEEHG_01440	hypothetical protein	0
451	prodigal	AFKMEEHG_01441	hypothetical protein	0
452	prodigal	AFKMEEHG_01442	hypothetical protein	0
453	prodigal	AFKMEEHG_01443	hypothetical protein	0
454	prodigal	AFKMEEHG_01444	hypothetical protein	0
455	prodigal	AFKMEEHG_01445	hypothetical protein	0
456	prodigal	AFKMEEHG_01446	hypothetical protein	0
457	prodigal	AFKMEEHG_01447	hypothetical protein	0
458	prodigal	AFKMEEHG_01448	hypothetical protein	0
459	prodigal	AFKMEEHG_02083	Putative peroxiredoxin bcp (bcp_3)	0
460	prodigal	AFKMEEHG_02082	NADH pyrophosphatase (nudC)	0
461	prodigal	AFKMEEHG_02081	hypothetical protein	0
462	prodigal	AFKMEEHG_02080	Miniconductance mechanosensitive channel YbdG (ybdG)	0
463	prodigal	AFKMEEHG_02079	Alkaline phosphatase synthesis sensor protein PhoR (phoR_2)	0
464	prodigal	AFKMEEHG_02078	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP (phoP_2)	0
465	prodigal	AFKMEEHG_02077	Oligopeptide transport ATP-binding protein OppD (oppD)	0
466	prodigal	AFKMEEHG_02076	Transcription-repair-coupling factor (mfd)	0
467	prodigal	AFKMEEHG_02075	Na( )-translocating NADH-quinone reductase subunit F (nqrF_3)	0
468	prodigal	AFKMEEHG_02074	Na( )-translocating NADH-quinone reductase subunit F (nqrF_2)	0
469	prodigal	AFKMEEHG_02073	Succinate dehydrogenase iron-sulfur subunit (sdhB)	0
470	prodigal	AFKMEEHG_02072	Alanine dehydrogenase (ald)	0
471	prodigal	AFKMEEHG_02071	Phytoene desaturase (lycopene-forming) (crtI)	0
472	prodigal	AFKMEEHG_02070	ECF RNA polymerase sigma factor SigR (sigR)	0
473	prodigal	AFKMEEHG_02069	hypothetical protein	0
474	prodigal	AFKMEEHG_02068	hypothetical protein	0
475	prodigal	AFKMEEHG_02067	hypothetical protein	0
476	prodigal	AFKMEEHG_02066	Chaperone protein DnaK (dnaK_2)	0
477	prodigal	AFKMEEHG_02065	hypothetical protein	0
478	prodigal	AFKMEEHG_02064	hypothetical protein	0
479	prodigal	AFKMEEHG_02063	Cell division coordinator CpoB (cpoB_2)	0
480	prodigal	AFKMEEHG_02062	Peptidoglycan-associated lipoprotein (pal_2)	0
481	prodigal	AFKMEEHG_02061	Peptidoglycan-associated lipoprotein (pal_1)	0
482	prodigal	AFKMEEHG_02060	Tol-Pal system protein TolB (tolB)	0
483	prodigal	AFKMEEHG_02059	hypothetical protein	0
484	prodigal	AFKMEEHG_01318	Tol-Pal system protein TolQ (tolQ)	0
485	prodigal	AFKMEEHG_01319	hypothetical protein	0
486	prodigal	AFKMEEHG_01320	Dihydroxy-acid dehydratase (ilvD)	0
487	prodigal	AFKMEEHG_01321	Acetolactate synthase large subunit (ilvB)	0
488	prodigal	AFKMEEHG_01322	Acetolactate synthase small subunit (ilvH)	0
489	prodigal	AFKMEEHG_01323	Ketol-acid reductoisomerase (NAD( )) (ilvC)	0
490	prodigal	AFKMEEHG_01324	3-isopropylmalate dehydrogenase (leuB)	0
491	prodigal	AFKMEEHG_01325	2-isopropylmalate synthase (leuA_2)	0
492	prodigal	AFKMEEHG_01326	3-isopropylmalate dehydratase large subunit (leuC)	0
493	prodigal	AFKMEEHG_01327	"2,3-dimethylmalate dehydratase small subunit (DmdB)"	0
494	prodigal	AFKMEEHG_01328	(R)-citramalate synthase (cimA)	0
495	prodigal	AFKMEEHG_01329	Methylglyoxal synthase (mgsA)	0
496	prodigal	AFKMEEHG_01330	hypothetical protein	0
497	prodigal	AFKMEEHG_01331	hypothetical protein	0
498	prodigal	AFKMEEHG_01332	Sepiapterin reductase	0
499	prodigal	AFKMEEHG_01333	putative protein YqeY (yqeY)	0
500	prodigal	AFKMEEHG_01334	Serine--tRNA ligase (serS)	0
501	prodigal	AFKMEEHG_01335	Homoserine O-acetyltransferase (metXA)	0
502	prodigal	AFKMEEHG_01336	O-acetyl-L-homoserine sulfhydrylase 1 (oah1)	0
503	prodigal	AFKMEEHG_01337	Ribosomal RNA small subunit methyltransferase B (rsmB)	0
504	prodigal	AFKMEEHG_01338	Tyrosine recombinase XerD (xerD)	0
505	prodigal	AFKMEEHG_01339	hypothetical protein	0
506	prodigal	AFKMEEHG_01340	Ribonuclease	0
507	prodigal	AFKMEEHG_01341	hypothetical protein	0
508	prodigal	AFKMEEHG_01342	hypothetical protein	0
509	prodigal	AFKMEEHG_01343	ATP-dependent RNA helicase DeaD (deaD)	0
510	prodigal	AFKMEEHG_01344	hypothetical protein	0
511	prodigal	AFKMEEHG_01345	3-deoxy-D-manno-octulosonic acid transferase (kdtA)	0
512	prodigal	AFKMEEHG_01346	hypothetical protein	0
513	prodigal	AFKMEEHG_01347	4-hydroxythreonine-4-phosphate dehydrogenase (pdxA)	0
514	prodigal	AFKMEEHG_01348	Cell division ATP-binding protein FtsE (ftsE)	0
515	prodigal	AFKMEEHG_01349	hypothetical protein	0
516	prodigal	AFKMEEHG_01350	Quinolinate synthase A (nadA)	0
517	prodigal	AFKMEEHG_01351	10 kDa chaperonin (groS)	0
518	prodigal	AFKMEEHG_01352	"Cadmium, cobalt and zinc/H( )-K( ) antiporter (czcD_1)"	0
519	prodigal	AFKMEEHG_01353	hypothetical protein	0
520	prodigal	AFKMEEHG_01354	hypothetical protein	0
521	prodigal	AFKMEEHG_01355	"Peptidoglycan D,D-transpeptidase MrdA (mrdA)"	0
522	prodigal	AFKMEEHG_01356	putative FAD-linked oxidoreductase	0
523	prodigal	AFKMEEHG_01357	SsrA-binding protein (smpB)	0
524	prodigal	AFKMEEHG_01358	Tyrosine--tRNA ligase (tyrS)	0
525	prodigal	AFKMEEHG_01359	Pyruvoyl-dependent arginine decarboxylase (pdaD)	0
526	prodigal	AFKMEEHG_01360	hypothetical protein	0
527	prodigal	AFKMEEHG_01361	L-aspartate oxidase (nadB)	0
528	prodigal	AFKMEEHG_01362	NH(3)-dependent NAD( ) synthetase (nadE_2)	0
529	prodigal	AFKMEEHG_01363	hypothetical protein	0
530	prodigal	AFKMEEHG_01364	Murein hydrolase activator EnvC (envC)	0
531	prodigal	AFKMEEHG_01365	Tyrosine recombinase XerC (xerC_3)	0
532	prodigal	AFKMEEHG_01366	hypothetical protein	0
533	prodigal	AFKMEEHG_00169	hypothetical protein	0
534	prodigal	AFKMEEHG_00168	hypothetical protein	0
535	prodigal	AFKMEEHG_00167	hypothetical protein	0
536	prodigal	AFKMEEHG_00166	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (murA)	0
537	prodigal	AFKMEEHG_00161	hypothetical protein	0
538	prodigal	AFKMEEHG_00160	hypothetical protein	0
539	prodigal	AFKMEEHG_00159	hypothetical protein	0
540	prodigal	AFKMEEHG_00158	hypothetical protein	0
541	prodigal	AFKMEEHG_00157	Aconitate hydratase B (acnB)	0
542	prodigal	AFKMEEHG_00156	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (queA_1)	0
543	prodigal	AFKMEEHG_00155	Histidinol dehydrogenase (hisD)	0
544	prodigal	AFKMEEHG_00154	Cell shape-determining protein MreB (mreB)	0
545	prodigal	AFKMEEHG_00153	N-acetyl-alpha-D-glucosaminyl L-malate synthase (bshA)	0
546	prodigal	AFKMEEHG_00152	hypothetical protein	0
547	prodigal	AFKMEEHG_00151	hypothetical protein	0
548	prodigal	AFKMEEHG_00150	hypothetical protein	0
549	prodigal	AFKMEEHG_00149	hypothetical protein	0
550	prodigal	AFKMEEHG_00148	UDP-glucose 6-dehydrogenase (ugd_1)	0
551	prodigal	AFKMEEHG_00147	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (arnC_1)	0
552	prodigal	AFKMEEHG_00146	hypothetical protein	0
553	prodigal	AFKMEEHG_01279	hypothetical protein	0
554	prodigal	AFKMEEHG_01278	Polysialic acid transport ATP-binding protein KpsT (kpsT)	0
555	prodigal	AFKMEEHG_01277	Polysialic acid transport protein KpsM (kpsM)	0
556	prodigal	AFKMEEHG_01276	hypothetical protein	0
557	prodigal	AFKMEEHG_01275	hypothetical protein	0
558	prodigal	AFKMEEHG_01274	hypothetical protein	0
559	prodigal	AFKMEEHG_01273	hypothetical protein	0
560	prodigal	AFKMEEHG_01272	Bicyclomycin resistance protein (bcr)	0
561	prodigal	AFKMEEHG_01271	hypothetical protein	0
562	prodigal	AFKMEEHG_01270	hypothetical protein	0
563	prodigal	AFKMEEHG_01269	Tryptophan synthase alpha chain (trpA)	0
564	prodigal	AFKMEEHG_01268	hypothetical protein	0
565	prodigal	AFKMEEHG_01267	7-cyano-7-deazaguanine synthase (queC)	0
566	prodigal	AFKMEEHG_01266	60 kDa chaperonin (groL)	0
567	prodigal	AFKMEEHG_01265	10 kDa chaperonin 1 (groS1)	0
568	prodigal	AFKMEEHG_01264	hypothetical protein	0
569	prodigal	AFKMEEHG_01263	UvrABC system protein A (uvrA_1)	0
570	prodigal	AFKMEEHG_01262	HTH-type transcriptional repressor NsrR (nsrR_2)	0
571	prodigal	AFKMEEHG_01261	Haloalkane dehalogenase 2 (dhmA2)	0
572	prodigal	AFKMEEHG_01260	LPS-assembly protein LptD (lptD)	0
573	prodigal	AFKMEEHG_01259	Tryptophan synthase beta chain (trpB_1)	0
574	prodigal	AFKMEEHG_01257	Alkaline phosphatase synthesis sensor protein PhoR (phoR_1)	0
575	prodigal	AFKMEEHG_01938	Iron transporter MagA (magA)	0
576	prodigal	AFKMEEHG_01937	Ribonuclease R (rnr)	0
577	prodigal	AFKMEEHG_01936	hypothetical protein	0
578	prodigal	AFKMEEHG_01935	Metal cation efflux system protein CzcD (czcD_2)	0
579	prodigal	AFKMEEHG_01934	ATP-dependent RecD-like DNA helicase (recD2_1)	0
580	prodigal	AFKMEEHG_01933	hypothetical protein	0
581	prodigal	AFKMEEHG_01932	hypothetical protein	0
582	prodigal	AFKMEEHG_01931	hypothetical protein	0
583	prodigal	AFKMEEHG_01930	hypothetical protein	0
584	prodigal	AFKMEEHG_01929	Rubrerythrin-2 (rbr2)	0
585	prodigal	AFKMEEHG_01928	Peroxide-responsive repressor PerR (perR_3)	0
586	prodigal	AFKMEEHG_01927	Outer membrane protein OprM (oprM_2)	0
587	prodigal	AFKMEEHG_01926	Efflux pump membrane transporter BepE (bepE)	0
588	prodigal	AFKMEEHG_01925	Multidrug resistance protein MexA (mexA)	0
589	prodigal	AFKMEEHG_01924	hypothetical protein	0
590	prodigal	AFKMEEHG_01923	HTH-type transcriptional activator RhaS (rhaS_1)	0
591	prodigal	AFKMEEHG_01922	Calcium-transporting ATPase 1	0
592	prodigal	AFKMEEHG_01921	Transposon Tn3 resolvase (tnpR)	0
593	prodigal	AFKMEEHG_01053	hypothetical protein	0
594	prodigal	AFKMEEHG_01054	hypothetical protein	0
595	prodigal	AFKMEEHG_01055	DNA-invertase hin (hin_1)	0
596	prodigal	AFKMEEHG_01958	DNA-invertase hin (hin_3)	0
597	prodigal	AFKMEEHG_01959	hypothetical protein	0
598	prodigal	AFKMEEHG_01960	hypothetical protein	0
599	prodigal	AFKMEEHG_01961	ATP-dependent RecD-like DNA helicase (recD2_2)	0
600	prodigal	AFKMEEHG_01962	hypothetical protein	0
601	prodigal	AFKMEEHG_01303	hypothetical protein	0
602	prodigal	AFKMEEHG_01302	hypothetical protein	0
603	prodigal	AFKMEEHG_01301	putative protein YxeI (yxeI)	0
604	prodigal	AFKMEEHG_01300	hypothetical protein	0
605	prodigal	AFKMEEHG_01299	hypothetical protein	0
606	prodigal	AFKMEEHG_01298	hypothetical protein	0
607	prodigal	AFKMEEHG_01920	hypothetical protein	0
608	prodigal	AFKMEEHG_01919	hypothetical protein	0
609	prodigal	AFKMEEHG_01918	hypothetical protein	0
610	prodigal	AFKMEEHG_01917	hypothetical protein	0
611	prodigal	AFKMEEHG_01916	hypothetical protein	0
612	prodigal	AFKMEEHG_01915	hypothetical protein	0
613	prodigal	AFKMEEHG_01914	(S)-2-haloacid dehalogenase	0
614	prodigal	AFKMEEHG_01913	hypothetical protein	0
615	prodigal	AFKMEEHG_01912	hypothetical protein	0
616	prodigal	AFKMEEHG_01911	Tyrosine recombinase XerC (xerC_5)	0
617	prodigal	AFKMEEHG_02021	hypothetical protein	0
618	prodigal	AFKMEEHG_02022	hypothetical protein	0
619	prodigal	AFKMEEHG_02023	hypothetical protein	0
620	prodigal	AFKMEEHG_02024	hypothetical protein	0
621	prodigal	AFKMEEHG_02025	hypothetical protein	0
622	prodigal	AFKMEEHG_02026	hypothetical protein	0
623	prodigal	AFKMEEHG_02027	hypothetical protein	0
624	prodigal	AFKMEEHG_02028	hypothetical protein	0
625	prodigal	AFKMEEHG_02029	hypothetical protein	0
626	prodigal	AFKMEEHG_02030	Copper-exporting P-type ATPase (copA)	0
627	prodigal	AFKMEEHG_02031	hypothetical protein	0
628	prodigal	AFKMEEHG_02032	hypothetical protein	0
629	prodigal	AFKMEEHG_02033	hypothetical protein	0
630	prodigal	AFKMEEHG_02034	HTH-type transcriptional activator RhaS (rhaS_2)	0
631	prodigal	AFKMEEHG_02035	Adaptive-response sensory-kinase SasA (sasA_3)	0
632	prodigal	AFKMEEHG_02036	tRNA (guanine-N(7)-)-methyltransferase (trmB)	0
633	prodigal	AFKMEEHG_02037	DNA polymerase III PolC-type (polC_3)	0
634	prodigal	AFKMEEHG_02038	Protease HtpX (htpX_2)	0
635	prodigal	AFKMEEHG_02039	hypothetical protein	0
636	prodigal	AFKMEEHG_02040	hypothetical protein	0
637	prodigal	AFKMEEHG_02041	hypothetical protein	0
638	prodigal	AFKMEEHG_02042	hypothetical protein	0
639	prodigal	AFKMEEHG_02043	hypothetical protein	0
640	prodigal	AFKMEEHG_02044	hypothetical protein	0
641	prodigal	AFKMEEHG_02019	hypothetical protein	0
642	prodigal	AFKMEEHG_02018	hypothetical protein	0
643	prodigal	AFKMEEHG_02016	ATP-dependent Clp protease ATP-binding subunit ClpX (clpX)	0
644	prodigal	AFKMEEHG_02015	hypothetical protein	0
645	prodigal	AFKMEEHG_02014	Glutamate synthase [NADPH] small chain (gltB_2)	0
646	prodigal	AFKMEEHG_02013	Ferredoxin-dependent glutamate synthase 1 (gltB_1)	0
647	prodigal	AFKMEEHG_02012	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (gpmA_2)"	0
648	prodigal	AFKMEEHG_02011	hypothetical protein	0
649	prodigal	AFKMEEHG_02010	hypothetical protein	0
650	prodigal	AFKMEEHG_02009	tRNA-specific adenosine deaminase (tadA_2)	0
651	prodigal	AFKMEEHG_02008	Succinate--CoA ligase [ADP-forming] subunit beta (sucC)	0
652	prodigal	AFKMEEHG_02007	putative ABC transporter ATP-binding protein YheS (yheS)	0
653	prodigal	AFKMEEHG_02006	scyllo-inositol 2-dehydrogenase (NADP( )) IolW (iolW)	0
654	prodigal	AFKMEEHG_02005	Oxygen-independent coproporphyrinogen III oxidase (hemN)	0
655	prodigal	AFKMEEHG_02004	N5-carboxyaminoimidazole ribonucleotide mutase (purE)	0
656	prodigal	AFKMEEHG_02003	hypothetical protein	0
657	prodigal	AFKMEEHG_02002	NADH dehydrogenase-like protein	0
658	prodigal	AFKMEEHG_02001	hypothetical protein	0
659	prodigal	AFKMEEHG_02000	Acetylornithine aminotransferase (argD)	0
660	prodigal	AFKMEEHG_01999	hypothetical protein	0
661	prodigal	AFKMEEHG_01998	hypothetical protein	0
662	prodigal	AFKMEEHG_01997	Tol-Pal system protein TolR (tolR_2)	0
663	prodigal	AFKMEEHG_01996	Tol-Pal system protein TolR (tolR_1)	0
664	prodigal	AFKMEEHG_01995	Biopolymer transport protein ExbB (exbB)	0
665	prodigal	AFKMEEHG_01994	hypothetical protein	0
666	prodigal	AFKMEEHG_01993	DNA primase (dnaG)	0
667	prodigal	AFKMEEHG_01992	hypothetical protein	0
668	prodigal	AFKMEEHG_01991	Sensor histidine kinase RcsC (rcsC_10)	0
669	prodigal	AFKMEEHG_01990	Transcriptional regulatory protein WalR (walR)	0
670	prodigal	AFKMEEHG_01989	Small-conductance mechanosensitive channel (mscS_2)	0
671	prodigal	AFKMEEHG_01988	hypothetical protein	0
672	prodigal	AFKMEEHG_01987	Cobalt/magnesium transport protein CorA (corA)	0
673	prodigal	AFKMEEHG_01986	hypothetical protein	0
674	prodigal	AFKMEEHG_01985	hypothetical protein	0
675	prodigal	AFKMEEHG_01984	hypothetical protein	0
676	prodigal	AFKMEEHG_01945	hypothetical protein	0
677	prodigal	AFKMEEHG_01946	CRISPR pre-crRNA endoribonuclease Cas5d (cas5d)	0
678	prodigal	AFKMEEHG_01947	hypothetical protein	0
679	prodigal	AFKMEEHG_01948	hypothetical protein	0
680	prodigal	AFKMEEHG_01949	hypothetical protein	0
681	prodigal	AFKMEEHG_01950	CRISPR-associated exonuclease Cas4/endonuclease Cas1 fusion (cas4-cas1)	0
682	prodigal	AFKMEEHG_00001	hypothetical protein	0
683	prodigal	AFKMEEHG_00002	hypothetical protein	0
684	prodigal	AFKMEEHG_00003	hypothetical protein	0
685	prodigal	AFKMEEHG_00004	Inner membrane protein YrbG (yrbG_1)	0
686	prodigal	AFKMEEHG_00005	hypothetical protein	0
687	prodigal	AFKMEEHG_00006	2-phosphonomethylmalate synthase (frbC)	0
688	prodigal	AFKMEEHG_00007	Nitrogen fixation protein VnfA (vnfA)	0
689	prodigal	AFKMEEHG_00008	Sulfate transport system permease protein CysW (cysW)	0
690	prodigal	AFKMEEHG_00009	hypothetical protein	0
691	prodigal	AFKMEEHG_01016	"Ferredoxin, 2Fe-2S"	0
692	prodigal	AFKMEEHG_01017	FeMo cofactor biosynthesis protein NifB (nifB)	0
693	prodigal	AFKMEEHG_01018	Nitrogenase molybdenum-iron protein beta chain (nifK_1)	0
694	prodigal	AFKMEEHG_01019	Nitrogenase molybdenum-iron protein alpha chain (nifD_1)	0
695	prodigal	AFKMEEHG_01020	Nitrogenase molybdenum-iron protein beta chain (nifK_2)	0
696	prodigal	AFKMEEHG_01021	Nitrogenase molybdenum-iron protein alpha chain (nifD_2)	0
697	prodigal	AFKMEEHG_01022	Nitrogen regulatory protein P-II 1 (glnB_2)	0
698	prodigal	AFKMEEHG_01023	Nitrogen regulatory protein P-II (glnB_3)	0
699	prodigal	AFKMEEHG_01024	Nitrogenase iron protein 1 (nifH1)	0
700	prodigal	AFKMEEHG_01025	Molybdenum-pterin-binding protein MopA (mopA)	0
701	prodigal	AFKMEEHG_01026	Carbamoyl dehydratase HypE (hypE)	0
702	prodigal	AFKMEEHG_01027	Hydrogenase maturation factor HypD (hypD)	0
703	prodigal	AFKMEEHG_01028	hypothetical protein	0
704	prodigal	AFKMEEHG_01029	Carbamoyltransferase HypF (hypF)	0
705	prodigal	AFKMEEHG_01030	Hydrogenase maturation factor HypB (hypB)	0
706	prodigal	AFKMEEHG_01031	Hydrogenase maturation factor HybF (hybF)	0
707	prodigal	AFKMEEHG_01032	Aspartate carbamoyltransferase (pyrB)	0
708	prodigal	AFKMEEHG_01033	hypothetical protein	0
709	prodigal	AFKMEEHG_01034	hypothetical protein	0
710	prodigal	AFKMEEHG_01035	hypothetical protein	0
711	prodigal	AFKMEEHG_01036	hypothetical protein	0
712	prodigal	AFKMEEHG_01037	hypothetical protein	0
713	prodigal	AFKMEEHG_01038	Cation/acetate symporter ActP (actP)	0
714	prodigal	AFKMEEHG_01039	UvrABC system protein C (uvrC)	0
715	prodigal	AFKMEEHG_00838	Beta-barrel assembly-enhancing protease (bepA_3)	0
716	prodigal	AFKMEEHG_00839	Shikimate dehydrogenase (NADP( )) (aroE)	0
717	prodigal	AFKMEEHG_00840	Lipoprotein signal peptidase (lspA)	0
718	prodigal	AFKMEEHG_00841	D-aminoacyl-tRNA deacylase (dtd3)	0
719	prodigal	AFKMEEHG_00842	hypothetical protein	0
720	prodigal	AFKMEEHG_00843	putative peptidyl-prolyl cis-trans isomerase (ppiB)	0
721	prodigal	AFKMEEHG_00844	Pyridoxal phosphate homeostasis protein	0
722	prodigal	AFKMEEHG_00845	hypothetical protein	0
723	prodigal	AFKMEEHG_00846	putative aspartate aminotransferase (aspC_1)	0
724	prodigal	AFKMEEHG_00847	Purine nucleoside phosphorylase 1 (punA_1)	0
725	prodigal	AFKMEEHG_00848	hypothetical protein	0
726	prodigal	AFKMEEHG_02138	putative aspartate aminotransferase (aspC_2)	0
727	prodigal	AFKMEEHG_02139	Purine nucleoside phosphorylase 1 (punA_2)	0
728	prodigal	AFKMEEHG_02140	hypothetical protein	0
729	prodigal	AFKMEEHG_01649	Cytochrome bd ubiquinol oxidase subunit 1 (cydA)	0
730	prodigal	AFKMEEHG_01650	Cytochrome bd-I ubiquinol oxidase subunit 2 (cydB)	0
731	prodigal	AFKMEEHG_01651	ATP-binding/permease protein CydD (cydD)	0
732	prodigal	AFKMEEHG_01652	putative ABC transporter ATP-binding/permease protein	0
733	prodigal	AFKMEEHG_01064	Outer membrane lipoprotein Blc (blc_1)	0
734	prodigal	AFKMEEHG_01065	Formyltetrahydrofolate deformylase (purU_1)	0
735	prodigal	AFKMEEHG_01066	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (arnT_1)	0
736	prodigal	AFKMEEHG_01067	hypothetical protein	0
737	prodigal	AFKMEEHG_01068	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (arnT_2)	0
738	prodigal	AFKMEEHG_01069	Dodecaprenyl-phosphate galacturonate synthase (rgtE_1)	0
739	prodigal	AFKMEEHG_01070	hypothetical protein	0
740	prodigal	AFKMEEHG_01071	Single-stranded-DNA-specific exonuclease RecJ (recJ)	0
741	prodigal	AFKMEEHG_01072	"Fructose-1,6-bisphosphatase class 1 (fbp)"	0
742	prodigal	AFKMEEHG_01073	Cytochrome b6-f complex iron-sulfur subunit (petC_1)	0
743	prodigal	AFKMEEHG_01074	Epoxyqueuosine reductase (queG)	0
744	prodigal	AFKMEEHG_01075	Bifunctional purine biosynthesis protein PurH (purH)	0
745	prodigal	AFKMEEHG_01076	Phosphoribosylglycinamide formyltransferase (purN)	0
746	prodigal	AFKMEEHG_01077	7-carboxy-7-deazaguanine synthase (queE_2)	0
747	prodigal	AFKMEEHG_01078	Dodecaprenyl-phosphate galacturonate synthase (rgtE_2)	0
748	prodigal	AFKMEEHG_01079	Endonuclease 4 (nfo_1)	0
749	prodigal	AFKMEEHG_01474	hypothetical protein	0
750	prodigal	AFKMEEHG_01475	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (arnC_2)	0
751	prodigal	AFKMEEHG_01476	Endonuclease 4 (nfo_2)	0
752	prodigal	AFKMEEHG_01477	Cell division protein FtsX (ftsX)	0
753	prodigal	AFKMEEHG_01479	putative riboflavin import permease protein RfuD (rfuD)	0
754	prodigal	AFKMEEHG_01480	"Pyruvate, phosphate dikinase (ppdK)"	0
755	prodigal	AFKMEEHG_01481	UvrABC system protein A (uvrA_2)	0
756	prodigal	AFKMEEHG_01482	Phosphorylated carbohydrates phosphatase	0
